class_name,run,start,end,duration,size,area,max_front_radius,front_velocity,fractal_dimension_box,radius_of_gyration,anisotropy
intermediate,0,1512,1567,55,0.1015993058681488,55,0.0,0.0,1.0,15.874506950378418,1.0
intermediate,0,1673,1732,59,0.138722762465477,59,0.0,0.0,1.0,17.029386520385742,1.0
intermediate,0,1840,1897,57,0.1269310712814331,57,0.0,0.0,1.0,16.451950073242188,1.0
intermediate,0,2003,2068,65,0.24775302410125732,65,0.0,0.0,1.0,18.76166343688965,1.0
intermediate,1,58,134,76,0.15615910291671753,76,0.0,0.0,1.0,21.937410354614258,1.0
intermediate,1,218,290,72,0.15698570013046265,72,0.0,0.0,1.0,20.782604217529297,1.0
intermediate,1,372,448,76,0.23853054642677307,76,0.0,0.0,1.0,21.937410354614258,1.0
intermediate,1,530,604,74,0.24028578400611877,74,0.0,0.0,1.0,21.360010147094727,1.0
intermediate,1,684,759,75,0.30524399876594543,75,0.0,0.0,1.0,21.648710250854492,1.0
intermediate,1,842,915,73,0.3092687129974365,73,0.0,0.0,1.0,21.071308135986328,1.0
intermediate,1,996,1070,74,0.35664689540863037,74,0.0,0.0,1.0,21.360010147094727,1.0
intermediate,1,1153,1226,73,0.36398109793663025,73,0.0,0.0,1.0,21.071308135986328,1.0
intermediate,1,1308,1381,73,0.3982725739479065,73,0.0,0.0,1.0,21.071308135986328,1.0
intermediate,1,1465,1537,72,0.4093230664730072,72,0.0,0.0,1.0,20.782604217529297,1.0
intermediate,1,1619,1692,73,0.4350539445877075,73,0.0,0.0,1.0,21.071308135986328,1.0
intermediate,1,1776,1848,72,0.4497983753681183,72,0.0,0.0,1.0,20.782604217529297,1.0
intermediate,1,1931,2004,73,0.4697173237800598,73,0.0,0.0,1.0,21.071308135986328,1.0
intermediate,1,2088,2100,12,0.029690813273191452,12,0.0,0.0,0.9133753776550293,3.452052593231201,1.0
intermediate,2,40,97,57,0.01847388595342636,57,0.0,0.0,1.0,16.451950073242188,1.0
intermediate,2,222,277,55,0.013113394379615784,55,0.0,0.0,1.0,15.874507904052734,1.0
intermediate,2,380,432,52,0.016807321459054947,52,0.0,0.0,1.0,15.008331298828125,1.0
intermediate,2,527,588,61,0.02742169052362442,61,0.0,0.0,1.0,17.606815338134766,1.0
intermediate,2,1012,1061,49,0.010252159088850021,49,0.0,0.0,1.0,14.142135620117188,1.0
intermediate,2,1161,1204,43,0.008963201195001602,43,0.0,0.0,1.0,12.409673690795898,1.0
intermediate,2,1304,1358,54,0.014700386673212051,54,0.0,0.0,1.0,15.585783958435059,1.0
