time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
28.8,1.0895953941519063,4.779888107953296,0.13099615597653425,0.5746600724456958,6,230
29.0,1.0992674987742466,4.756892478702632,0.13215898075766835,0.5718954324221914,7,220
29.2,1.358702490687941,4.794639940036097,0.1633494454465813,0.5764336053615196,7,226
29.400000000000002,1.1879452673803323,4.811832252674908,0.14282022884142662,0.5785005440436384,8,229
29.6,1.1330054332373414,4.791975497856209,0.13621510998598033,0.5761132739015479,6,224
29.8,1.1278108019494015,4.82181871149783,0.13559058758611722,0.5797011619286276,6,233
30.0,1.2788777482560807,4.797160655853791,0.15375254877602432,0.5767366573789926,8,225
30.2,1.2313966880873202,4.801658011413492,0.14804415793922254,0.577277350092584,7,230
30.400000000000002,1.0877834059693308,4.811374062413683,0.13077831044610497,0.5784454583088339,6,226
30.6,1.3364416845348386,4.860073146090082,0.16067314922630868,0.584300285518482,7,237
30.8,1.5149011648160366,4.855106070503384,0.1821283664930842,0.5837031209087612,7,235
31.0,1.277545793323052,4.882396394431489,0.15359241504464366,0.5869840888250388,7,243
31.2,1.165997242857796,4.883943745775509,0.1401815366634289,0.5871701185009164,5,241
31.400000000000002,1.210617346885551,4.871585585666922,0.14554597023049487,0.5856843638089854,8,240
31.6,1.244383350008602,4.8686023919711765,0.14960547400185045,0.5853257105797468,6,248
31.8,1.1035254521516629,4.868481126170476,0.1326708914428296,0.5853111314489718,5,239
32.0,1.0993515875475515,4.9098382155915585,0.1321690902956885,0.5902832704334217,7,249
32.2,1.4056626399259011,4.893579843233696,0.16899520998199885,0.5883286143356204,9,241
32.4,1.4347129044216127,4.900663285406655,0.17248776602570517,0.5891802182435665,9,257
32.6,1.2407418955126475,4.867271524848492,0.1491676816399391,0.5851657076299153,8,237
32.8,1.0396467741367832,4.884152110132559,0.12499110377694546,0.5871951690196342,7,250
33.0,1.2462992762554097,4.9204238930560855,0.14983581544309865,0.5915559291319652,6,260
33.2,1.3168045866053593,4.931417735229434,0.15831228724294946,0.5928776592639491,7,258
33.4,1.2256174410530378,5.003321625259167,0.14734935035285326,0.6015222747278257,7,278
33.6,1.212994362095427,4.970502764836791,0.1458317459017787,0.5975766407962434,7,265
33.8,1.4357283851300933,4.9764585567725685,0.17260985177422547,0.5982926734204361,7,271
